OID_,LandV_Num,Area,Site,LA_Year
25271,334557,0.19707169,Site18,1996
25272,1091028,0.06893303,Site18,2007
25273,1144258,0.068920366,Site18,2013
25274,66047,0.082686387,Site18,1975
25275,534912,0.069109971,Site18,2000
25276,60449,0.068581132,Site18,1975
25277,777510,0.062211255,Site18,2003
25278,792686,0.068553475,Site18,2004
25279,826381,0.08010452,Site18,2002
25280,917598,0.079773926,Site18,2003
25281,1031330,0.07975336,Site18,2012
25282,1457684,0.079738155,Site18,2009
25283,1476681,0.06876591,Site18,2015
25284,280660,0.068465003,Site18,1996
25285,60449,0.06904295,Site18,1975
25286,709072,0.068732688,Site18,2002
25287,539538,0.08246042,Site18,1998
25288,1908670,0.185808314,Site18,2015
25289,97736,0.176528355,Site18,1975
25290,3793200,0.185812167,Site18,2016
25291,2554931,0.185812518,Site18,2005
25292,289728,0.185811146,Site18,1983
25293,2393215,0.189005547,Site18,2009
25294,100008,0.185805662,Site18,1975
25295,109952,0.234115331,Site18,1975
25296,980125,0.134280908,Site18,2000
25297,331395,0.083974038,Site18,1986
25298,1355000,0.082414568,Site18,2009
25299,71221,0.096126254,Site18,1975
25300,296857,0.079702555,Site18,2000
25301,1548381,0.07825723,Site18,2010
25302,59621,0.065152068,Site18,1975
25303,329652,0.065228907,Site18,1994
25304,182882,0.065230964,Site18,1980
25305,273642,0.065228617,Site18,1996
25306,54858,0.060492902,Site18,1975
25307,1096470,0.060495118,Site18,2015
25308,55479,0.060499491,Site18,1975
25309,55479,0.060501771,Site18,1975
25310,337207,0.060503658,Site18,1998
25311,59621,0.06524258,Site18,1975
25312,59621,0.065244701,Site18,1975
